Job,Operation,Machine,Start,Duration,End
3,0,10,25,83,108
10,5,10,409,96,505
1,6,10,660,77,737
2,9,10,737,63,800
5,2,10,843,82,925
8,9,10,1128,79,1207
9,9,10,1216,97,1313
6,7,10,1357,62,1419
4,8,10,1511,63,1574
7,9,10,1586,71,1657
3,1,9,108,61,169
1,1,9,169,68,237
10,3,9,272,67,339
2,5,9,403,66,469
9,8,9,627,93,720
5,3,9,933,95,1028
8,8,9,1033,95,1128
6,4,9,1128,80,1208
7,5,9,1270,97,1367
4,9,9,1574,67,1641
4,0,8,0,94,94
9,3,8,246,85,331
10,4,8,344,56,400
2,8,8,643,94,737
1,7,8,737,99,836
7,0,8,836,50,886
8,6,8,886,85,971
3,6,8,1135,78,1213
6,6,8,1288,69,1357
5,8,8,1362,67,1429
9,1,7,94,71,165
2,2,7,165,69,234
1,2,7,237,94,331
8,1,7,407,73,480
10,6,7,507,58,565
3,4,7,978,64,1042
6,3,7,1059,66,1125
5,6,7,1199,95,1294
4,5,7,1294,75,1369
7,8,7,1534,52,1586
2,0,6,25,72,97
1,3,6,392,99,491
9,7,6,569,58,627
10,8,6,651,59,710
8,5,6,785,94,879
6,2,6,986,64,1050
3,5,6,1050,85,1135
5,7,6,1294,68,1362
4,6,6,1369,66,1435
7,7,6,1435,99,1534
1,0,5,76,88,164
2,3,5,234,75,309
8,0,5,309,98,407
9,6,5,493,76,569
10,7,5,569,81,650
5,1,5,752,88,840
6,1,5,901,81,982
7,2,5,982,97,1079
4,3,5,1079,99,1178
3,7,5,1213,85,1298
10,0,4,1,50,51
2,1,4,107,50,157
9,2,4,165,81,246
8,2,4,577,82,659
5,0,4,675,69,744
1,9,4,922,92,1014
7,3,4,1079,96,1175
4,4,4,1178,54,1232
3,9,4,1353,77,1430
6,8,4,1430,79,1509
4,1,3,94,68,162
2,4,3,309,94,403
9,5,3,403,90,493
1,5,3,571,89,660
8,3,3,660,51,711
10,9,3,711,96,807
5,5,3,1132,67,1199
6,5,3,1208,80,1288
3,8,3,1298,55,1353
7,6,3,1367,66,1433
10,2,2,181,82,263
3,3,2,263,65,328
9,4,2,334,66,400
1,4,2,494,67,561
2,7,2,561,82,643
8,4,2,711,71,782
6,0,2,796,99,895
7,1,2,895,86,981
4,2,2,1011,61,1072
5,9,2,1429,86,1515
9,0,1,0,94,94
10,1,1,94,59,153
3,2,1,170,83,253
2,6,1,469,92,561
1,8,1,836,86,922
8,7,1,971,62,1033
5,4,1,1033,99,1132
7,4,1,1175,95,1270
4,7,1,1435,76,1511
6,9,1,1511,88,1599
