Job,Operation,Machine,Start,Duration,End
4,0,5,0,37,37
8,0,5,49,24,73
9,0,5,73,56,129
5,0,5,129,57,186
3,2,5,188,16,204
6,0,5,257,81,338
2,3,5,452,41,493
10,0,5,493,40,533
7,3,5,540,20,560
1,3,5,561,84,645
3,1,4,128,54,182
9,2,4,212,54,266
8,4,4,266,8,274
4,4,4,274,57,331
7,0,4,382,33,415
5,3,4,430,68,498
2,4,4,498,50,548
6,4,4,617,11,628
10,4,4,643,7,650
1,4,4,650,38,688
2,0,3,1,21,22
1,1,3,45,45,90
3,0,3,90,38,128
4,2,3,128,74,202
8,3,3,205,55,260
9,3,3,266,64,330
7,1,3,420,20,440
5,4,3,498,30,528
6,3,3,528,89,617
10,3,3,635,8,643
1,0,2,19,23,42
2,1,2,42,29,71
8,1,2,81,84,165
4,3,2,203,62,265
3,4,2,265,52,317
9,4,2,330,39,369
5,2,2,369,61,430
6,2,2,430,89,519
10,1,2,533,83,616
7,4,2,618,66,684
4,1,1,37,54,91
1,2,1,91,82,173
8,2,1,173,32,205
9,1,1,205,7,212
3,3,1,212,52,264
5,1,1,264,81,345
6,1,1,347,79,426
2,2,1,431,18,449
7,2,1,449,91,540
10,2,1,616,19,635
