Job,Operation,Machine,Start,Duration,End
4,8,10,416,7,423
2,8,10,513,29,542
7,7,10,591,75,666
10,8,10,666,37,703
9,7,10,715,41,756
3,9,10,757,92,849
5,7,10,887,38,925
8,8,10,926,32,958
6,7,10,966,23,989
1,9,10,1077,11,1088
4,9,9,423,57,480
10,7,9,480,65,545
2,9,9,545,88,633
3,8,9,705,52,757
7,9,9,763,15,778
9,9,9,778,16,794
8,7,9,864,53,917
5,8,9,925,8,933
6,8,9,989,44,1033
1,8,9,1033,44,1077
4,5,8,226,49,275
2,5,8,379,11,390
10,6,8,421,51,472
7,6,8,502,89,591
9,6,8,602,56,658
3,7,8,676,29,705
8,6,8,853,9,862
5,9,8,933,18,951
1,7,8,968,61,1029
6,9,8,1033,39,1072
4,6,7,279,83,362
2,6,7,390,29,419
7,5,7,431,71,502
9,5,7,596,6,602
3,6,7,618,58,676
10,9,7,703,21,724
5,5,7,773,79,852
6,5,7,852,94,946
1,6,7,946,18,964
8,9,7,964,97,1061
10,5,6,347,15,362
4,7,6,362,54,416
2,7,6,419,52,471
3,5,6,558,60,618
7,8,6,666,97,763
9,8,6,763,5,768
8,5,6,792,61,853
5,6,6,853,34,887
1,5,6,927,19,946
6,6,6,946,20,966
6,2,5,30,89,119
4,3,5,162,55,217
7,2,5,238,47,285
10,3,5,308,10,318
2,4,5,337,42,379
3,3,5,485,10,495
9,3,5,496,6,502
5,2,5,526,92,618
8,2,5,618,74,692
1,4,5,847,76,923
6,3,4,119,94,213
4,4,4,217,9,226
10,2,4,226,82,308
2,3,4,319,18,337
7,4,4,337,94,431
9,2,4,459,37,496
3,4,4,496,62,558
5,3,4,618,94,712
8,4,4,720,72,792
1,3,4,817,23,840
4,0,3,14,16,30
8,1,3,30,7,37
10,1,3,107,74,181
7,1,3,207,21,228
2,2,3,268,51,319
3,0,3,319,88,407
9,1,3,407,52,459
5,4,3,712,46,758
1,2,3,772,45,817
6,4,3,837,14,851
6,0,2,0,25,25
8,0,2,25,5,30
4,1,2,31,71,102
7,0,2,183,24,207
2,1,2,225,43,268
10,4,2,318,29,347
3,1,2,407,31,438
5,0,2,468,7,475
9,4,2,502,94,596
1,1,2,694,74,768
6,1,1,25,5,30
10,0,1,30,77,107
4,2,1,107,55,162
2,0,1,162,63,225
7,3,1,294,40,334
9,0,1,372,34,406
3,2,1,438,47,485
5,1,1,485,41,526
1,0,1,634,55,689
8,3,1,692,28,720
