Job,Operation,Machine,Start,Duration,End
9,2,20,44,38,82
19,1,20,296,35,331
20,13,20,405,34,439
3,15,20,517,15,532
15,19,20,536,11,547
10,20,20,710,22,732
5,5,20,830,28,858
17,20,20,858,18,876
16,2,20,990,30,1020
12,6,20,1052,27,1079
1,7,20,1108,24,1132
7,20,20,1132,11,1143
14,19,20,1199,42,1241
11,7,20,1291,38,1329
6,10,20,1329,38,1367
18,10,20,1370,21,1391
2,20,20,1391,25,1416
13,20,20,1416,22,1438
8,20,20,1537,33,1570
4,20,20,1619,42,1661
15,4,19,71,27,98
18,4,19,98,48,146
3,8,19,295,28,323
10,10,19,461,11,472
17,16,19,518,35,553
19,9,19,553,19,572
20,18,19,572,30,602
9,14,19,622,31,653
7,7,19,667,36,703
2,11,19,703,18,721
14,15,19,1086,11,1097
12,8,19,1105,32,1137
13,17,19,1234,47,1281
8,15,19,1287,32,1319
5,20,19,1326,15,1341
16,13,19,1341,24,1365
6,11,19,1367,12,1379
1,17,19,1407,45,1452
11,16,19,1516,37,1553
4,19,19,1584,35,1619
20,1,18,0,33,33
17,2,18,41,19,60
9,4,18,106,21,127
19,2,18,337,19,356
10,8,18,391,40,431
3,13,18,462,25,487
15,20,18,547,49,596
13,4,18,615,44,659
8,3,18,748,44,792
7,12,18,804,41,845
2,13,18,865,15,880
5,7,18,880,34,914
1,3,18,960,27,987
14,11,18,990,37,1027
16,3,18,1027,15,1042
12,11,18,1183,36,1219
4,11,18,1303,40,1343
6,12,18,1379,11,1390
11,15,18,1506,10,1516
18,16,18,1548,20,1568
15,2,17,15,12,27
1,2,17,47,21,68
20,4,17,102,45,147
9,9,17,231,41,272
19,3,17,360,20,380
17,12,17,388,37,425
2,5,17,434,26,460
10,12,17,495,46,541
3,16,17,541,42,583
13,6,17,713,35,748
8,4,17,792,16,808
7,13,17,850,34,884
12,1,17,943,32,975
5,13,17,1072,34,1106
14,16,17,1106,38,1144
16,10,17,1234,29,1263
6,9,17,1295,34,1329
11,8,17,1329,35,1364
18,12,17,1439,17,1456
4,16,17,1489,17,1506
17,1,16,0,41,41
18,3,16,65,28,93
9,6,16,161,11,172
10,2,16,225,23,248
11,3,16,332,22,354
19,4,16,385,36,421
15,16,16,463,11,474
20,15,16,474,35,509
7,6,16,643,24,667
3,20,16,667,41,708
5,6,16,858,22,880
13,11,16,885,28,913
2,15,16,913,39,952
6,4,16,1187,13,1200
14,20,16,1241,30,1271
8,16,16,1324,36,1360
1,16,16,1378,20,1398
4,15,16,1455,34,1489
12,15,16,1497,44,1541
16,20,16,1563,22,1585
3,3,15,95,47,142
20,11,15,331,21,352
15,15,15,441,22,463
17,15,15,482,36,518
10,15,15,618,17,635
9,16,15,678,28,706
19,15,15,713,42,755
14,3,15,755,38,793
7,17,15,1001,27,1028
1,6,15,1068,39,1107
5,15,15,1146,24,1170
16,8,15,1194,16,1210
8,12,15,1210,39,1249
6,7,15,1251,20,1271
13,18,15,1281,38,1319
2,18,15,1319,13,1332
4,12,15,1343,49,1392
11,11,15,1411,33,1444
12,17,15,1573,12,1585
18,19,15,1600,20,1620
1,1,14,0,47,47
9,5,14,127,34,161
3,5,14,178,41,219
20,8,14,222,37,259
15,14,14,395,46,441
10,9,14,441,20,461
2,6,14,469,36,505
17,17,14,553,45,598
19,12,14,619,44,663
7,10,14,736,44,780
14,6,14,824,24,848
8,10,14,951,28,979
4,5,14,1119,27,1146
12,10,14,1170,13,1183
13,15,14,1183,27,1210
5,17,14,1216,45,1261
16,11,14,1263,28,1291
6,16,14,1493,17,1510
18,15,14,1513,35,1548
11,17,14,1553,21,1574
17,6,13,180,49,229
15,9,13,229,41,270
10,6,13,332,19,351
2,3,13,369,27,396
3,17,13,583,37,620
20,20,13,626,29,655
14,1,13,676,33,709
9,17,13,709,43,752
13,7,13,752,31,783
19,20,13,866,42,908
7,15,13,908,45,953
5,11,13,1009,47,1056
4,7,13,1170,41,1211
16,9,13,1211,23,1234
8,14,13,1271,15,1286
18,13,13,1456,30,1486
1,19,13,1486,36,1522
6,18,13,1536,11,1547
12,19,13,1617,10,1627
11,20,13,1632,23,1655
9,3,12,82,24,106
17,7,12,229,29,258
15,10,12,270,30,300
20,10,12,300,25,325
2,2,12,347,20,367
13,3,12,579,35,614
3,18,12,620,34,654
10,17,12,654,31,685
19,14,12,693,20,713
8,5,12,808,42,850
7,14,12,885,14,899
14,12,12,1027,24,1051
4,3,12,1051,42,1093
5,18,12,1261,47,1308
18,8,12,1308,36,1344
6,13,12,1390,47,1437
11,12,12,1444,16,1460
16,17,12,1461,31,1492
1,20,12,1522,31,1553
12,20,12,1627,28,1655
15,1,11,0,15,15
9,7,11,172,16,188
17,10,11,309,30,339
10,7,11,351,30,381
3,11,11,388,41,429
2,7,11,514,37,551
20,19,11,602,24,626
19,13,11,663,30,693
7,11,11,786,17,803
14,5,11,808,16,824
8,6,11,850,29,879
5,14,11,1106,31,1137
12,9,11,1137,33,1170
13,16,11,1210,24,1234
16,14,11,1365,21,1386
4,13,11,1392,33,1425
1,18,11,1461,23,1484
18,14,11,1486,27,1513
